id,price,minimum_nights,calculated_host_listings_count,latitude,longitude,last_review_days_ago,reviews_per_month,is_superhost_proxy,avail_rate,room_type_enc,neighbourhood_enc,is_unsold
25748635,1230.0,1,6,25.05168,121.51627,979,1.09,1,0.7506849315068493,1,7,1
25748834,1365.0,1,6,25.05145,121.51437,868,1.13,1,0.7506849315068493,1,7,1
25749452,1943.0,1,6,25.05142,121.51505,1008,0.18,1,0.726027397260274,1,7,1
25749661,3441.0,1,6,25.05119,121.51508,2563,0.01,1,0.7150684931506849,1,7,1
25749737,3441.0,1,6,25.05293,121.51458,504,0.81,1,0.7397260273972602,1,7,1
25749899,4714.0,1,6,25.05189,121.51649,1012,0.12,1,0.7479452054794521,1,7,1
25831185,890.0,30,16,25.09026,121.52569,2199,0.15,1,0.9808219178082191,2,6,1
25844726,2575.0,2,16,25.06416,121.52439,107,1.42,1,0.0136986301369863,1,0,0
25849520,2010.0,30,77,25.02103,121.53084,1229,0.02,1,0.41643835616438357,2,8,0
25920699,694.0,30,6,25.08351,121.52411,1750,0.85,1,0.0,0,6,0
25949113,1828.0,7,2,25.0385,121.55423,9999,0.0,0,1.0,2,8,1
25994610,4198.0,2,1,25.05066,121.51462,182,2.06,0,0.37534246575342467,0,7,0
26052777,2010.0,1,27,25.05476,121.52664,2201,0.48,1,0.0,1,0,0
26054202,1928.0,6,18,25.03079,121.55863,94,1.31,1,0.4,0,2,0
26112635,3452.0,1,1,25.04284,121.50563,105,1.33,0,0.5506849315068493,2,11,0
26318460,2014.0,2,2,25.04985,121.51906,153,1.81,0,0.5205479452054794,0,7,0
26338358,203.0,30,8,25.08746,121.5236,129,0.27,1,0.9013698630136986,3,6,1
26443606,1095.0,14,4,25.04669,121.55201,198,1.11,1,0.8164383561643835,0,10,0
26612419,1587.0,3,1,25.12655,121.52624,9999,0.0,0,0.9917808219178083,2,4,1
26746623,1551.0,3,1,25.04119,121.50588,101,2.32,0,0.3780821917808219,0,11,0
26904834,2134.0,2,1,25.03416,121.52769,2132,0.33,0,0.3232876712328767,0,1,0
26925750,1804.0,20,5,25.03324,121.55598,280,2.17,1,0.8,2,8,0
26986835,1256.0,3,17,25.04393,121.50646,114,2.89,1,0.2958904109589041,0,11,0
27101306,1220.0,2,3,25.03045,121.56001,135,0.65,1,0.18904109589041096,2,2,0
